ADATA 32GB mSATA Drive,,N82E16820211882,ADATA,ASP310S3-32G-C,1,http://www.newegg.com/Product/Product.aspx?Item=N82E16820211882
Intel Wireless/Bluetooth Module,,9SIA0ZX2274825,Intel,7260.HWMANWB.R,1,http://www.newegg.com/Product/Product.aspx?Item=N82E16833106243
Gskill 4GB Memory Module SODIMM,,N82E16820231767,Gskill,F3-1333C9S-4GSA,2,http://www.newegg.com/Product/Product.aspx?Item=N82E16820231767
Webcam,,,Logitech,C170,1,http://www.newegg.com/Product/Product.aspx?Item=N82E16826104823
USB A to USB Mini B,,N82E16812200472,StarTech,USB2HABM1,1,http://www.newegg.com/Product/Product.aspx?Item=N82E16812200472
USB A to USB Micro B,,N82E16812200643,StarTech,UUSBHAUB1,1,http://www.newegg.com/Product/Product.aspx?Item=N82E16812200643
,,,,,,
Ublox LEA-6 GPS Dev Board,Mouser,932-MIKROE-1032,MikroElectronica,MIKROE-1032,1,http://www.mouser.com/ProductDetail/mikroElektronika/MIKROE-1032/?qs=sGAEpiMZZMuyGAGFEBEmZt%2fsR%2fWVGgy3
GPS Antenna,,932-MIKROE-363,MikroElectronica,MIKROE-363,1,http://www.mouser.com/ProductDetail/mikroElektronika/MIKROE-363/?qs=sGAEpiMZZMuBTKBKvsBmlAVOmRCg5CQMOC0gfeMfl8c%3d
,,,,,,
Battery Pack: 14.8V 13.6Ah,BatterySpace,,BatterySpace,CU-JAS316,1,http://www.batteryspace.com/custom-li-ion-18650-battery-pack-14-8v-13-6ah-201wh-10a-rate-2x8s-s.aspx
Smart Charger (3.0A) for 14.8V Li-ion/Polymer Rechargeable Battery,,,BatterySpace,CH-L1483-52,1,http://www.batteryspace.com/smartcharger30afor148vli-ionpolymerbatterypackstandardfemaletamiyaplug.aspx
,,,,,,
Fire Retardant Bag,HobbyKing,LPGUARD18x22,,,1,http://www.hobbyking.com/hobbyking/store/__4134__Lithium_Polymer_Charge_Pack_18x22cm_Sack.html
,,,,,,
"2-56 X 3/8"" Binding Head Slotted Machine Screw Nylon",,405-256-38-7A30,,,5,"PCB, IMU"
"2-56 X 1/2"" PAN HEAD STAINLESS STEEL",,,,,8,Gripper
"4-40 X 1/2"" BUTTON SOCKET CAP SCREW STAINLESS STEEL",,511-440-12,,,14,"Battery Cross Strap, US Brackets, Camera Mount"
"4-40 X 5/8"" SOCKET HEAD CAP SCREW STAINLESS STEEL",,504-440-58,,,22,"Lid Support, IMU Mount, US Tower, NUC Base"
"4-40 X 1-5/8"" SOCKET HEAD CAP SCREW STAINLESS STEEL",,,,,8,Battery Base/Brace
"#4 STEEL FLAT WASHER, C4 STAINLESS STEEL ID=.125, OD=.312, THK=.032",,306-40-2-C4,,,52,
"#6 STEEL FLAT WASHER,,,,,,,4,
2-56 NYLON INSERT LOCK NUT,,,,,8,Gripper
"4-40 NYLON INSERT LOCKNUT, COARSE STAINLESS STEEL AF=1/4 , THK=9/64",,280-440-2,,,30,
M3 X 18 0.5 PITCH METRIC SOCKET HEAD CAP SCREW 12.9 ALLOY STEEL DIN 912,,3/18/46,,,2,
M3 X 4 0.5 PITCH BUTTON SOCKET HEAD CAP SCREW ALLOY STEEL ISO 7380-12.9,,3/4/50,,,8,
